share_registry_id,share_registry,share_registry_address,share_registry_telephone
1,advanced share registry services,"110 stirling highway, nedlands, wa, australia, 6009",08 9389 8033
2,austraclear services limited,"20 bridge street, sydney, nsw, australia, 2000",02 9256 0689
3,automic registry services,"level 2, 267 st georges terrace,, perth, wa, australia, 6000",08 9324 2099
4,automic registry services,"level 5, 126 phillip street, sydney, nsw, australia, 2000",02 9698 5414
5,bank of new york (the),"adr division, 101 barclay street, 22nd floor - west, new york, ny, united states of america, 10286",212 815 2293
6,bank of new york (the),"p.o. box 11248, church street station, new york, united states of america, 10286",212 815 6436
7,bny trust company of australia limited,"level 4, 35 clarence street, sydney, nsw, australia, 2000",02 9551 5009
8,boardroom pty limited,"level 12, 225 george street, sydney, nsw, australia, 2000",02 9290 9600
9,bta institutional services australia limited,"level 2, 35 clarence street, sydney, nsw, australia, 2000",
10,citigroup pty limited,"level 23, 2 park street, sydney, nsw, australia, 2000",
11,computershare investor services limited,"level 2, 159 hurstmere road, takapuna auckland, new zealand, 1039",64 9 488 8700
12,computershare investor services p/l,"level 3, 60 carrington street, sydney, nsw, australia, 2000",1300 855 080
13,computershare investor services pty limited,"452 johnston street, abbotsford, vic, australia, 3067",1300 171 785
14,computershare investor services pty limited,"axa asia pacific holdings limited, level 12, 565 bourke street, melbourne, vic, australia, 3001",1300 367 373
15,computershare investor services pty limited,"level 1, 200 mary street, brisbane, qld, australia, 4000",1300 552 270
16,computershare investor services pty limited,"level 11, 172 st georges terrace, perth, wa, australia, 6000",1300 850 505
17,computershare investor services pty limited,"level 3, 60 carrington street, sydney, nsw, australia, 2000",02 8234 5000
18,computershare investor services pty limited,"level 5, 115 grenfell street, adelaide, sa, australia, 5000",08 8236 2300
19,computershare investor services pty limited,"yarra falls, 452 johnston street, abbotsford, vic, australia, 3067",03 9415 4000
20,computershare investor services pty. limited,"yarra falls, 452 johnston street, abbotsford, vic, australia, 3067",1800 501 366
21,computershare investor services..,"100 university avenue, toronto ontario, canada, m5j 2y1",1 416 981 9500
22,link market services limited,"level 12 qv1 building, 250 st georges terrace perth, perth, wa, australia, 6000",1300 554 474
23,link market services limited,"level 12, 680 george street, sydney, nsw, australia, 2000",1300 554 474
24,link market services limited,"level 21, 10 eagle street, brisbane, qld, australia, 4000",1300 554 474
25,link market services limited,"level 4 central park, 152 st georges terrace, perth, wa, australia, 6000",1300 554 474
26,link market services limited,"telstra corporation limited, level 4, 333 collins street, melbourne, vic, australia, 3000",1300 886 677
27,link market services limited,"tower 4, 727 collins street, docklands, vic, australia, 3008",1300 554 474
28,link market services limited.,"level 1, 333 collins street, melbourne, vic, australia, 3000",1300 665 661
29,mainstream fund services pty ltd,"level 1, 51-57 pitt street, sydney, nsw, australia, 2000",1300 133 451
30,mitchell & partners,"suite 3, level 2, 66 clarence street, sydney, nsw, australia, 2000",02 9392 8686
31,nextregistries,"level 16, 1 market street, sydney, nsw, australia, 2000",
32,permanent registry limited,"level 4, 35 clarence street, sydney, nsw, australia, 2000",02 8295 8100
33,perpetual corporate trust limited,"123 pitt street, sydney, nsw, australia, 2000",
34,perpetual trustee company limited,"level 7, 9 castlereagh street, sydney, nsw, australia, 2000",
35,perpetual trustees consolidated limited,"level 12, angel place, 123 pitt street, sydney, nsw, australia, 2000",
36,perpetual trustees victoria limited,"level 12 angel place, 123 pitt street, sydney, nsw, australia, 2000",02 9229 9000
37,registry direct,"level 6, 2 russell street, melbourne, vic, australia, 3000",1300 556 635
38,reserve bank of australia,"register of inscribed stock, 65 martin place, sydney, nsw, australia, 2000",02 9551 8111
39,security transfer australia pty ltd,"770 canning highway, applecross, wa, australia, 6153",1300 992 916